name,representative,accounting_officer,address,established
公明党衆議院比例区北海道第３総支部,佐藤　英道,川島　公謙,北海道札幌市中央区北一条西１９,H25.1.4
公明党衆議院比例区東北第２総支部,庄子　賢一,松野　博志,宮城県仙台市宮城野区榴岡４－５－２４,R3.11.15
公明党衆議院比例区北関東第１総支部,福重　隆浩,掛川　信一,群馬県高崎市飯塚町４５７－２,R3.11.17
公明党衆議院比例区北関東第４総支部,石井　啓一,杉戸　研介,茨城県水戸市中央２－１０－２６,H10.11.17
公明党衆議院比例区北関東第５総支部,輿水　恵一,藤村　達彦,埼玉県さいたま市北区大成町４－８１,H25.1.9
公明党衆議院比例区南関東第２総支部,角田　秀穂,鈴木　隆,千葉県船橋市湊町１－７－４,H27.1.6
公明党衆議院比例区南関東第３総支部,古屋　範子,中島　順一,神奈川県横須賀市米が浜通１－７－２,H15.7.4
公明党衆議院比例区東京第３総支部,河西　宏一,田邊　清二,東京都北区滝野川７－３７－１０,R3.11.17
公明党衆議院比例区北陸信越第１総支部,中川　宏昌,大久保　智広,長野県松本市野溝西１－３－４,R3.11.18
公明党衆議院比例区東海第１総支部,大口　善德,山中　基司,静岡県静岡市葵区幸町１１－１,H14.12.24
公明党衆議院比例区東海第３総支部,中川　康洋,石井　隆,三重県四日市市芝田１－１０－２９,H27.1.6
公明党衆議院比例区東海第５総支部,伊藤　渉,村本　豊,愛知県名古屋市南区本城町３－５－１,H17.11.2
公明党衆議院比例区近畿第１総支部,井之上　智子,柏木　淳,大阪府大阪市中央区徳井町２－４－１５,H25.1.4
公明党衆議院比例区近畿第５総支部,濱村　進,濱村　進,兵庫県姫路市佃町２６－１,H25.1.8
公明党衆議院比例区近畿第８総支部,竹内　譲,山本　大樹,京都府京都市上京区今出川通大宮南西角,H18.2.7
公明党衆議院比例区近畿第９総支部,鰐淵　洋子,上松　満義,大阪府大阪市西区新町３－５－８,H29.11.6
公明党衆議院比例区中国第２総支部,平林　晃,西岡　稔,広島県広島市東区二葉の里１－１－７２,R3.11.16
公明党衆議院比例区中国第３総支部,日下　正喜,木口　勇二,広島県広島市中区土橋町２－４３,R3.11.15
公明党衆議院比例区四国第２総支部,山崎　正恭,山内　大志,高知県高知市桟橋通４－１２－３６,R3.11.17
公明党衆議院比例区九州第１総支部,吉田　宣弘,柴田　康一,熊本県熊本市東区健軍本町２６－１０,R3.2.19
公明党衆議院比例区九州第２総支部,金城　泰邦,上地　貴大,沖縄県浦添市安波茶１－６－５,R3.11.18
