name,representative,accounting_officer,address,established,shitei
嗚呼、当たり前！女性宮家・女系天皇反対党,門田　節代,門田　節代,三重県伊賀市桐ケ丘６－１１３,R3.4.5
ＡＡＡ不老不死時代の生命倫理を考える会,北川　ワタル,北川　エカテリーナ,大阪府大阪市住吉区我孫子３－８－７,H25.9.9
ＩａｍＴＵＢＥ政治団体,森山　典英,森山　典英,東京都中央区日本橋２－１６－３,R4.5.10
ＩＨＩ運搬機械労働組合議員を支援する会,栄田　祐治,芹澤　伸吾,東京都中央区明石町８－１,H14.1.7
ＩＨＩ労働組合連合会政治活動委員会,鴨下　和弘,伊木　昭彦,東京都江東区豊洲３－１－１,S51.1.12
ＩＨＩ労働組合連合会東京政治活動委員会,岡　晃司,熊倉　健太郎,東京都江東区豊洲３－１－１,S51.2.17
ＩＨＩ労働組合連合会武蔵政治活動委員会,対馬　潤一,吉野　雅彦,東京都西多摩郡瑞穂町殿ヶ谷４６８,H1.4.17
愛煙党,渡久地　祐貴,渡久地　祐貴,埼玉県戸田市美女木１２１４－５,R2.2.6
ＩＯＮＤＵｎｉｖｅｒｓｉｔｙ,髙橋　斎,櫻井　誠,東京都港区西新橋１－２－９,H22.7.1
愛犬家も犬も犬が苦手な人もみんなが笑顔で楽しく幸せな快適に暮らせる社会をつくる会,大瀧　昭一郎,大瀧　昭一郎,東京都中野区上鷺宮２－１３－３,R3.3.31
愛国会佐賀県本部,小貫　晴夫,堤　一男,佐賀県佐賀市大財４－５－２４,R3.6.15
愛國菊心會,岡崎　毅,岡崎　毅,高知県高知市仁井田４６８２－２,H21.7.14
愛國菊心會,濱田　光也,尾形　弘子,千葉県木更津市太田２－３－２,H31.3.28
愛国者の党,須澤　秀人,多田　光宏,東京都江戸川区平井３－３０－１７,R3.2.16
愛国心絆会,岩城　智也,岩城　智也,兵庫県姫路市御立西３－１４－４６－３,R3.4.21
愛国青年協議会,中川　仁志,中川　仁志,三重県四日市市伊倉１－２－３７－２,H11.9.16
愛国青年同志会,古谷　四郎,古谷　恵子,愛知県名古屋市西区鳥見町１－１７,H14.10.8
愛国戦線社,井上　隆明,長谷川　太,大分県別府市光町４－１０,H13.3.30
愛國蒼明社,二宮　明,井上　兼一,愛媛県松山市宮西３－５－３１,H30.10.17
愛国団体敬愛倭塾,小嶋　和正,𠮷田　徳一,京都府南丹市八木町南廣瀬上野１０,H15.10.10
愛國團體皇國同志会,川原　弘幸,平野　佑介,神奈川県厚木市妻田南１－２１－１１,H17.6.8
愛國勅使塾,浅井　圭,俵　裕之,愛知県名古屋市緑区鳴海町赤塚２５－３,H30.2.16
愛國同志會,髙野　立実,高野　照男,岐阜県多治見市山吹町２－１５４,S61.11.25
愛国党西日本総本部,岡田　敏孝,岡田　敏孝,岡山県岡山市北区吉宗５８２－７,H25.2.18
愛国保守党,大竹　誠一,剱山　清,埼玉県越谷市越ヶ谷１－３－１４,R3.1.18,有
愛国友志会,石川　寿夫,石川　寿夫,神奈川県横浜市旭区川井本町２９－１３,H16.11.29
愛食党,知久平　香,知久平　香,東京都三鷹市新川６－１６－６,H9.7.17
愛知県医療法人連盟,木村　衛,井手　宏,愛知県名古屋市中区栄４－１４－２８,H3.10.15
愛知製鋼労組政策実現を支援する会,大場　正洋,望月　俊二,愛知県東海市荒尾町ワノ割１,H24.4.12
アイヌ民族党,萱野　志朗,秋辺　日出男,北海道沙流郡平取町字二風谷８０－２７,H23.12.22
あいはらくみこ後援会,相原　久美子,竹内　広人,東京都千代田区六番町１,H18.6.5
愛＆Ｌｏｖｅ友八幡愛応援団,八幡　愛,八幡　輝,大阪府大阪市西区立売堀３－５－２３,H31.2.12,有
青木愛と羽ばたく会,青木　伊久,小原　貞裕,東京都北区岸町１－２－９,H19.6.20
青木一彦後援会,和田　晶夫,佐々木　弘行,島根県松江市内中原町１４０－２,H4.1.30
青木一彦後援会,青木　一彦,佐々木　弘行,東京都千代田区永田町２－１－１,H22.7.27,有
青く健やかな明日をつくる会,青島　健太,剱持　益美,埼玉県草加市谷塚町５９２,R4.5.17,有
青空議会,鹿島　ひでき,廣瀬　邦男,香川県高松市田村町１１７９,S58.3.16
赤枝恒雄後援会,赤枝　恒雄,赤枝　順子,東京都港区元麻布３－１－３０,H25.3.11,有
赤枝恒雄政策研究会,赤枝　恒雄,赤枝　順子,東京都港区元麻布３－１－３０,H29.10.19
赤木正幸後援会,赤木　正幸,赤木　正幸,兵庫県神戸市西区井吹台西町２－２,R2.10.8,有
あかね会,井上　宏行,白板　崇,大阪府大阪市北区堂島２－３－２７,H24.7.2
赤羽かずよしと進む会,赤松　正雄,末廣　伸作,兵庫県神戸市中央区八幡通４－１－６,R2.6.29
赤松健事務所,赤松　健,秦　亜希子,東京都港区南青山６－１３－２１,R4.8.10,有
あかり,森口　あゆみ,稲葉　朝子,三重県伊賀市緑ケ丘南町４０３６,R1.5.30,有
明るい社会をつくる会,山田　博之,堀島　義治,静岡県熱海市田原本町９－１,H16.10.7
明るい福祉を考える会,前島　富子,狩野　弥生,東京都板橋区板橋３－５７－５,S53.2.3
明るく元気な東京を創る会,中松　義郎,宮城　調二郎,東京都世田谷区下馬６－３１－１０,H15.4.7
あきの公造後援会,秋野　公造,前田　洋,福岡県北九州市戸畑区初音町６－７,H25.5.1,有
秋葉忠利後援会,秋葉　忠利,秋葉　しずか,広島県廿日市市玖島３９４８－３,R4.5.31,有
秋元司後援会,秋元　武明,醍醐　駿平,東京都江東区東陽５－３１－２１,H15.12.4
悪質な訪問販売から国民を守る党,片岡　将志,片岡　将志,東京都八王子市子安町１－１４－６,R4.12.2
アクティブネット,愛知　治郎,小畑　有喜子,宮城県仙台市青葉区米ヶ袋１－５－２１,H15.3.10,有
あけみヒューマンライフ,前田　明美,前田　真治,熊本県熊本市北区植木町投刀塚１０１,R4.5.19,有
浅尾慶一郎を囲む公認会計士の会,波多　康治,久保田　博,東京都新宿区四谷２－８,H24.2.15
浅尾慶一郎を支える会,三谷　智雄,長尾　有祐,神奈川県鎌倉市大船１－２３－１１,H16.1.5
朝風会,尾身　朝子,伊藤　元万,東京都千代田区永田町２－１－２,H26.12.9,有
あさぎり会,松村　祥史,古賀　正秋,東京都千代田区永田町２－１－１,H16.9.8,有
麻の実研究所,麻生　輝久,楠本　浩子,東京都新宿区下落合４－９－２８,S54.1.22
あさひ会,朝日　健太郎,門内　淳,東京都千代田区永田町２－１－１,R1.8.26,有
麻布大学同窓有志による福山守後援会,有賀　誠,伊澤　良和,徳島県徳島市八万町大野１２３－１,H28.5.31
アジア新聞●,田中　健之,田中　健之,東京都千代田区平河町２－２－１,R2.6.25
亜細亜新報社,安藤　幸信,安藤　幸信,東京都杉並区浜田山４－３１－７,R2.4.6
亜細亜評議會,野﨑　利勝,野﨑　利勝,香川県さぬき市鴨庄４３７１－１,H20.7.15
亜細亜民族同盟,吉岡　正次,吉岡　正次,徳島県阿南市吉井町地神南１２－３,S57.6.14
亜細亜連合政友会,佐藤　鐵雄,樋口　武弘,東京都中野区東中野４－３０－１６,H29.6.19
アジア和平日本委員会,小林　明,千葉　秀次,東京都小金井市前原町３－４０－１,H24.12.21
アシタノワダイ党,日野　照道,山本　貴宏,兵庫県尼崎市南塚口町８－６６－３,R3.10.18
阿修羅会,服部　修,服部　修,兵庫県西宮市今津水波町２－５,R3.5.20
あすなろ２１懇話会,木村　次郎,阿部　秀行,東京都千代田区永田町２－１－２,H5.11.12,有
明日の長崎県を創る会,金子　原二郎,池田　介一,長崎県長崎市桶屋町３７,H2.10.5
